LIB_ID,LIB_NAME,FIPS_ST,FIPS_CO,COUNTY_POP,LAT,LON
101-000,ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY,1,111,22663,33.1495407,-85.3706895
101-002,SYLACUGA - B. B. COMER MEMORIAL LIBRARY,1,121,81339,33.1718114,-86.2507305
999-028,CHEROKEE COUNTY PUBLIC LIBRARY,1,19,26115,34.1493617,-85.6763663
101-004,CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY,1,121,81339,33.2775588,-86.3556694
101-005,LINCOLN PUBLIC LIBRARY,1,121,81339,33.6044887,-86.1235871
101-006,LINEVILLE PUBLIC LIBRARY,1,27,13506,33.3145941,-85.7544585
101-007,HEFLIN - LUCILE MORGAN PUBLIC LIBRARY,1,29,15017,33.6437218,-85.5878737
101-008,OXFORD PUBLIC LIBRARY,1,15,116547,33.6097203,-85.8355168
101-009,TALLADEGA - ARMSTRONG-OSBORNE PUBLIC LIBRARY,1,121,81339,33.4331188,-86.0997635
999-070,ABBEVILLE MEMORIAL LIBRARY,1,67,17224,31.5672929,-85.2504667
999-033,ARITON - DOT LANEY MEMORIAL LIBRARY,1,45,49845,31.6001879,-85.7194125
AL0023-003,HEADLAND - BLANCHE R. SOLOMON MEMORIAL LIBRARY,1,67,17224,31.3523595,-85.3419344
999-035,BRUNDIDGE - TUPPER LIGHTFOOT MEMORIAL LIBRARY,1,109,33682,31.7189493,-85.8155105
999-061,OZARK - DALE COUNTY PUBLIC LIBRARY,1,45,49845,31.452208,-85.6327649
999-079,CLIO - ELTON B. STEPHENS LIBRARY,1,5,26978,31.7087604,-85.6120904
517-001,LOUISVILLE PUBLIC LIBRARY,1,5,26978,31.782949,-85.555864
517-003,MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY,1,45,49845,31.336223,-85.523526
999-077,NEWTON PUBLIC LIBRARY,1,45,49845,31.3319466,-85.5968512
999-078,CLAYTON - TOWN AND COUNTY PUBLIC LIBRARY,1,5,26978,31.8845803,-85.458798
517-004,TROY PUBLIC LIBRARY,1,109,33682,31.8085334,-85.9677353
999-060,UNION SPRINGS PUBLIC LIBRARY,1,11,10605,32.1406206,-85.7161121
999-058,ANDALUSIA PUBLIC LIBRARY,1,39,37850,31.3068476,-86.4829134
103-001,BRANTLEY PUBLIC LIBRARY,1,41,13960,31.579297,-86.292382
103-002,ELBA PUBLIC LIBRARY,1,31,50861,31.414525,-86.066332
999-034,GENEVA - EMMA KNOX KENAN PUBLIC LIBRARY,1,61,26742,31.0362535,-85.8650891
103-004,ENTERPRISE PUBLIC LIBRARY,1,31,50861,31.314037,-85.852791
999-041,FLORALA PUBLIC LIBRARY,1,39,37850,31.020628,-86.326526
103-006,HARTFORD - MCGREGOR-MCKINNEY PUBLIC LIBRARY,1,61,26742,31.0982684,-85.6967458
AL0043-002,LUVERNE PUBLIC LIBRARY,1,41,13960,31.7163308,-86.2614088
103-008,OPP PUBLIC LIBRARY,1,39,37850,31.3071062,-86.2549763
103-009,SAMSON PUBLIC LIBRARY,1,61,26742,31.116736,-86.045997
103-010,SLOCOMB PUBLIC LIBRARY,1,61,26742,31.107025,-85.5936724
103-011,HORSESHOE BEND REGIONAL LIBRARY,1,123,41221,32.8333469,-85.7653961
AL0048-008,HORSESHOE BEND REGIONAL BOOKMOBILE,1,123,41221,32.8333469,-85.7653961
104-001,ALEXANDER CITY - ADELIA MCCONNELL RUSSELL LIBRARY,1,123,41221,32.9414721,-85.9539223
104-000,MAMIE'S PLACE,1,123,41221,32.9417413,-85.9539294
AL0049-003,DADEVILLE PUBLIC LIBRARY,1,123,41221,32.8333407,-85.7653961
104-002,GOODWATER PUBLIC LIBRARY,1,37,11065,33.0638376,-86.0524899
104-003,AUBURN PUBLIC LIBRARY,1,81,151708,32.6044107,-85.466363
104-004,OPELIKA - LEWIS COOPER JR. MEMORIAL LIBRARY,1,81,151708,32.649137,-85.3759494
